,Variable,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
2,PNS_Count,3,2591,1935,0.0927168184,656,0.07193771247,-0.2537492444,0.005272682429
3,PNS_Count,4,638,504,0.02414949689,134,0.01469459371,-0.496783896,0.004697043638
4,PNS_Count,5,183,137,0.006564446574,46,0.005044412765,-0.2633869572,0.0004003570799
5,PNS_Count,6,11,10,0.0004791566842,1,0.0001096611471,-1.474632521,0.0005448701354
0,Multiple_Angle_Images,0%,15584,10809,0.51792046,4775,0.5236319772,0.01096742564,0.00006264064016
1,Multiple_Angle_Images,0.01%-5%,1589,1125,0.05390512698,464,0.05088277223,-0.05770119027,0.0001743934661
2,Multiple_Angle_Images,10-15%,955,706,0.03382846191,249,0.02730562562,-0.2142097689,0.001397255254
3,Multiple_Angle_Images,15-20%,1455,1024,0.04906564447,431,0.04726395438,-0.03741114336,0.00006740328605
4,Multiple_Angle_Images,20%-25%,834,567,0.027168184,267,0.02927952626,0.07484192681,0.0001580169235
5,Multiple_Angle_Images,5%-10%,2783,1931,0.09252515573,852,0.09343129729,0.009745816538,0.000008831089455
6,Multiple_Angle_Images,Greater than 25%,6789,4708,0.2255869669,2081,0.228204847,0.01153793015,0.00003020491756
0,Mcat_Count,0-4,1878,1182,0.05663632008,696,0.07632415835,0.2983390345,0.005873650662
1,Mcat_Count,13-16,4793,3180,0.1523718256,1613,0.1768834302,0.1491671745,0.003656326802
2,Mcat_Count,17-20,3870,2759,0.1321993292,1111,0.1218335344,-0.08165521244,0.0008464211767
3,Mcat_Count,21-24,2781,1979,0.09482510781,802,0.08794823994,-0.0752857656,0.0005177302626
4,Mcat_Count,5-8,4354,2790,0.1336847149,1564,0.171510034,0.2491576184,0.009424466422
5,Mcat_Count,9-12,5261,3468,0.1661715381,1793,0.1966224367,0.1682647078,0.005123811553
6,Mcat_Count,Greater than 24,7052,5512,0.2641111644,1540,0.1688781665,-0.4471925451,0.04258748671
0,Industry,Agriculture,394,283,0.01356013416,111,0.01217238732,-0.1079641242,0.0001498268723
1,Industry,"Apparel, Textiles & Accessories",3547,2337,0.1119789171,1210,0.1326899879,0.1697048762,0.003514769711
2,Industry,Auto & Transportation,626,433,0.02074748443,193,0.02116460138,0.01990503304,0.000008302726757
3,Industry,"Books, Stationary, Paper Products",442,320,0.0153330139,122,0.01337865994,-0.1363473789,0.0002664710392
4,Industry,Building Material & Construction,3445,2347,0.1124580738,1098,0.1204079395,0.06830499836,0.000543015562
5,Industry,Electrical,2023,1494,0.07158600862,529,0.05801074679,-0.2102713617,0.002854488791
6,Industry,Electronics,2063,1368,0.0655486344,695,0.0762144972,0.1507593195,0.001607978218
7,Industry,Food & Beverages,1782,1189,0.05697172976,593,0.0650290602,0.1322790744,0.001065816214
8,Industry,"Gifts, Sports, Toys",899,638,0.03057019645,261,0.02862155938,-0.06586530388,0.000128347573
9,Industry,Homeware,4130,2757,0.1321034978,1373,0.1505647549,0.1308075669,0.002414872118
10,Industry,Industrial Plants & Machinery,1697,1251,0.0599425012,446,0.04890887159,-0.2034269863,0.00224453802
11,Industry,"Industrial Products, Minerals & Metallurgy",2943,2183,0.1045999042,760,0.08334247176,-0.2271843511,0.004829355988
12,Industry,"Machine Tools,Measuring Equipments,Mehanical Components",1994,1463,0.0701006229,531,0.05823006909,-0.1855298076,0.002202341566
13,Industry,Medical Equipment & Supplies,2010,1383,0.06626736943,627,0.0687575392,0.03688878111,0.00009185932771
14,Industry,Miscallenous Service,598,405,0.01940584571,193,0.02116460138,0.08675569394,0.0001525820686
15,Industry,Packaging,1391,1016,0.04868231912,375,0.04112293015,-0.16875003,0.001275647116
16,Industry,nan,5,3,0.0001437470053,2,0.0002193222941,0.422487464,0.00003192961213
0,IA,0,77,58,0.002779108769,19,0.002083561794,-0.2880514592,0.000200353321
1,IA,10,31,25,0.001197891711,6,0.0006579668823,-0.5991637835,0.0003235034029
2,IA,100,1629,1132,0.05424053666,497,0.05450159009,0.004801339471,0.000001253406143
3,IA,15,35,28,0.001341638716,7,0.0007676280294,-0.558341789,0.0003204941536
4,IA,20,43,31,0.001485385721,12,0.001315933765,-0.1211279826,0.00002052537363
5,IA,25,73,54,0.002587446095,19,0.002083561794,-0.2165924953,0.000109137558
6,IA,30,76,50,0.002395783421,26,0.002851189823,0.1740261047,0.00007925260226
7,IA,35,124,93,0.004456157163,31,0.003399495559,-0.2706597165,0.0002859957304
8,IA,40,179,122,0.005845711548,57,0.006250685382,0.06698279524,0.00002712627943
9,IA,45,210,143,0.006851940585,67,0.007347296853,0.06980056127,0.00003457614555
10,IA,5,19,10,0.0004791566842,9,0.0009869503235,0.7225920565,0.0003669276501
11,IA,50,316,221,0.01058936272,95,0.01041780897,-0.01633323778,0.000002802028212
12,IA,55,401,281,0.01346430283,120,0.01315933765,-0.02291035441,0.000006986860366
13,IA,60,585,399,0.0191183517,186,0.02039697335,0.06473782896,0.00008277518977
14,IA,65,818,576,0.02759942501,242,0.02653799759,-0.0392173624,0.00004162638397
15,IA,70,1148,809,0.03876377575,339,0.03717512885,-0.04184623754,0.00006647889566
16,IA,75,1730,1207,0.05783421179,523,0.05735277991,-0.008359184895,0.000004024378076
17,IA,80,2818,1968,0.09429803546,850,0.093211975,-0.01158415599,0.00001258109379
18,IA,85,4046,2802,0.1342597029,1244,0.1364184669,0.01595111854,0.00003443470069
19,IA,90,6454,4447,0.2130809775,2007,0.2200899221,0.03236393042,0.0002268369973
20,IA,95,6865,4763,0.2282223287,2102,0.2305077311,0.009964122774,0.00002277203019
