,Variable,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
0,Vertical,NSD Emerging Markets - Channel FSF,2554,2011,0.08504969338,543,0.085592686,0.006364121925,0.000003455671246
1,Vertical,NSD Inbound Sales,778,641,0.02710932544,137,0.02159520807,-0.2274063393,0.001253945245
2,Vertical,NSD Registered Supplier & Pre-Sales Support,26,21,0.0008881370269,5,0.0007881462799,-0.1194423335,0.00001194312814
3,Vertical,NSD Tele,6747,5371,0.2271516177,1376,0.2168978562,-0.04619117965,0.0004736333366
4,Vertical,NSD Top Cities - Channel FSF,3920,3114,0.1316980334,806,0.1270491803,-0.03593741812,0.000167067777
5,Vertical,NSD Top Cities - Inhouse FSF,15923,12451,0.5265806724,3472,0.5472887768,0.03857204759,0.0007987539865
6,Vertical,Other Vertical,41,36,0.001522520617,5,0.0007881462799,-0.6584388343,0.0004835405827
0,Turnover,1Cr-2Cr,4006,3387,0.1432438148,619,0.09757250946,-0.3839523884,0.01753560675
1,Turnover,2 Cr-5 Cr,1517,1292,0.05464157327,225,0.0354665826,-0.4322040904,0.008287509402
2,Turnover,50 Lakh-1 Cr,6382,5153,0.2179319095,1229,0.1937263556,-0.117736047,0.00284986623
3,Turnover,Greater than 5 Cr,952,843,0.03565235779,109,0.0171815889,-0.729976884,0.01348323432
4,Turnover,Not Mentioned,2772,2155,0.09113977585,617,0.09725725095,0.06496521313,0.0003974230733
5,Turnover,Upto 50 Lakh,14360,10815,0.4573905688,3545,0.5587957125,0.2002462923,0.02030600404
0,Tier,Others,7378,5723,0.2420384859,1655,0.2608764187,0.07495005717,0.001411904135
1,Tier,Tier1,11387,9129,0.3860858532,2258,0.35592686,-0.08133450209,0.002452966697
2,Tier,Tier2,11224,8793,0.3718756608,2431,0.3831967213,0.0299889367,0.0003395065666
0,STS_Creation_Date,0,2830,2218,0.09380418693,612,0.09646910467,0.02801330637,0.00007465315692
1,STS_Creation_Date,1-10,3262,2568,0.1086064707,694,0.1093947037,0.00723148746,0.000005700096653
2,STS_Creation_Date,11-30,2046,1549,0.06551067879,497,0.07834174023,0.1788673774,0.002295058309
3,STS_Creation_Date,180-365,2764,2130,0.09008246987,634,0.0999369483,0.1038138875,0.001023031715
4,STS_Creation_Date,31-180,4936,3821,0.1615986466,1115,0.1757566204,0.08398442821,0.001189049333
5,STS_Creation_Date,Greater than 365,14151,11359,0.4803975471,2792,0.4401008827,-0.08761000459,0.003530390946
0,Cancellation_Reason,6 Months Lock-In Period,173,124,0.005244237682,49,0.007723833544,0.3871809243,0.0009600522173
1,Cancellation_Reason,BL/ROI Issue,121,101,0.004271516177,20,0.00315258512,-0.3037460515,0.0003398708905
2,Cancellation_Reason,Bounce,73,56,0.002368365405,17,0.002679697352,0.1235038451,0.00003845069254
3,Cancellation_Reason,Client Coordination Issue,436,361,0.01526749841,75,0.0118221942,-0.255747653,0.0008811284669
4,Cancellation_Reason,Client Does Not Want Service,42,32,0.00135335166,10,0.00157629256,0.152491382,0.00003399656593
5,Cancellation_Reason,GST Filing,88,73,0.003087333474,15,0.00236443884,-0.2667670483,0.0001928444679
6,Cancellation_Reason,High Churn Category Cancellation,160,116,0.004905899767,44,0.006935687264,0.3462416346,0.0007027969405
7,Cancellation_Reason,Material Issue,1013,822,0.03476422077,191,0.03010718789,-0.1438247752,0.000669796706
8,Cancellation_Reason,NACH Cancelled,281,219,0.009262000423,62,0.009773013871,0.05370484699,0.00002744389906
9,Cancellation_Reason,Negative Industry,40,34,0.001437936139,6,0.0009457755359,-0.4189588636,0.0002061950469
10,Cancellation_Reason,Not Cancelled,27104,21364,0.903531402,5740,0.9047919294,0.001394139617,0.000001757351179
11,Cancellation_Reason,Others,170,132,0.005582575597,38,0.005989911728,0.0704264289,0.00002868722902
12,Cancellation_Reason,Penny Drop,288,211,0.008923662508,77,0.01213745271,0.3075894801,0.0009885280579
0,Rating,0-1,25647,19767,0.8359906957,5880,0.9268600252,0.1031850731,0.009376358406
1,Rating,1-2,453,385,0.01628251216,68,0.01071878941,-0.4180934373,0.00232615597
2,Rating,2-3,231,208,0.00879678579,23,0.003625472888,-0.886401672,0.004583860403
3,Rating,3-4,541,489,0.02068090505,52,0.008196721311,-0.9254765791,0.01155381966
4,Rating,4-5,748,696,0.0294353986,52,0.008196721311,-1.27846375,0.02715287902
5,Rating,Greater than Equal to 5,2369,2100,0.08881370269,269,0.04240226986,-0.7393390523,0.03431378476
0,TAT_Slab,0-4,1594,1208,0.05108902516,386,0.06084489281,0.1747581827,0.001704917701
1,TAT_Slab,11-15,4619,3688,0.1559737788,931,0.1467528373,-0.06093811564,0.0005619067985
2,TAT_Slab,5-7,15074,11769,0.4977373652,3305,0.520964691,0.04560970917,0.001059391577
3,TAT_Slab,8-10,7026,5599,0.2367942483,1427,0.2249369483,-0.05137148011,0.0006091270489
4,TAT_Slab,Greater than 15,1676,1381,0.05840558258,295,0.04650063052,-0.2279456053,0.002713681503
0,Product_Count,0-5,344,273,0.01154578135,71,0.01119167718,-0.03114972638,0.00001103024813
1,Product_Count,11,6751,5271,0.2229223937,1480,0.2332912989,0.04546418167,0.0004714137863
2,Product_Count,12-19,8352,6538,0.276506661,1814,0.2859394704,0.03354523515,0.0003164258074
3,Product_Count,20,5474,4301,0.1818989215,1173,0.1848991173,0.01635920763,0.00004908082486
4,Product_Count,21-30,5435,4275,0.1807993233,1160,0.1828499369,0.01127809449,0.00002312701422
5,Product_Count,6-10,511,420,0.01776274054,91,0.0143442623,-0.213753013,0.0007307100241
6,Product_Count,Greater than 30,3122,2567,0.1085641785,555,0.08748423707,-0.2158828754,0.004550798362
0,Preferred_Location,FOREIGN & GLOBAL,74,73,0.003087333474,1,0.000157629256,-2.974817249,0.008715334644
1,Preferred_Location,HYPERLOCAL,9730,7021,0.2969338126,2709,0.4270176545,0.3633160968,0.04726155367
2,Preferred_Location,INDIA,4161,3775,0.1596532036,386,0.06084489281,-0.9646761005,0.09531801598
3,Preferred_Location,LOCAL ONLY,16024,12776,0.5403256502,3248,0.5119798235,-0.05388679685,0.00152746581
0,PNS_Count,1,3433,2601,0.1100021146,832,0.131147541,0.1758233671,0.003717860064
1,PNS_Count,2,23133,18150,0.7676041446,4983,0.7854665826,0.02300375035,0.0004109030635
2,PNS_Count,3,2591,2171,0.09181645168,420,0.06620428752,-0.3270462668,0.008376362676
3,PNS_Count,4,638,554,0.02342990061,84,0.0132408575,-0.5707056961,0.005814944941
4,PNS_Count,5,183,159,0.00672446606,24,0.003783102144,-0.5752081801,0.001691896586
5,PNS_Count,6,11,10,0.0004229223937,1,0.000157629256,-0.9869429012,0.000261829179
0,Multiple_Angle_Images,0%,15584,12217,0.5166842884,3367,0.5307377049,0.02683590752,0.0003771361851
1,Multiple_Angle_Images,0.01%-5%,1589,1285,0.0543455276,304,0.04791929382,-0.1258441042,0.0008087036325
2,Multiple_Angle_Images,10-15%,955,774,0.03273419328,181,0.02853089533,-0.1374326506,0.0005776703772
3,Multiple_Angle_Images,15-20%,1455,1159,0.04901670543,296,0.04665825977,-0.04931119725,0.0001162977792
4,Multiple_Angle_Images,20%-25%,834,647,0.02736307888,187,0.02947667087,0.07440451412,0.0001572607854
5,Multiple_Angle_Images,5%-10%,2783,2182,0.09228166631,601,0.09473518285,0.02623995991,0.00006438017552
6,Multiple_Angle_Images,Greater than 25%,6789,5381,0.2275745401,1408,0.2219419924,-0.02506178101,0.0001411616754
0,Mcat_Count,0-4,1878,1380,0.05836329034,498,0.07849936948,0.2964034906,0.005968404147
1,Mcat_Count,13-16,4793,3654,0.1545358427,1139,0.1795397226,0.1499704183,0.003749842327
2,Mcat_Count,17-20,3870,3103,0.1312328188,767,0.1209016393,-0.08199567132,0.0008471119932
3,Mcat_Count,21-24,2781,2263,0.0957073377,518,0.0816519546,-0.1588292116,0.002232405417
4,Mcat_Count,5-8,4354,3211,0.1358003806,1143,0.1801702396,0.2827161615,0.01254407621
5,Mcat_Count,9-12,5261,3969,0.1678578981,1292,0.2036569987,0.1933194233,0.006920661496
6,Mcat_Count,Greater than 24,7052,6065,0.2565024318,987,0.1555800757,-0.4999775902,0.05045891642
0,Industry,Agriculture,394,323,0.01366039332,71,0.01119167718,-0.1993302544,0.0004920898168
1,Industry,"Apparel, Textiles & Accessories",3547,2724,0.1152040601,823,0.1297288777,0.1187417252,0.001724701903
2,Industry,Auto & Transportation,626,489,0.02068090505,137,0.02159520807,0.04326062812,0.00003955332279
3,Industry,"Books, Stationary, Paper Products",442,359,0.01518291394,83,0.01308322825,-0.1488395889,0.0003125163547
4,Industry,Building Material & Construction,3445,2654,0.1122436033,791,0.1246847415,0.1051169446,0.001307774434
5,Industry,Electrical,2023,1661,0.0702474096,362,0.05706179067,-0.207888706,0.002741141258
6,Industry,Electronics,2063,1585,0.06703319941,478,0.07534678436,0.1169132379,0.000971968136
7,Industry,Food & Beverages,1782,1373,0.05806724466,409,0.0644703657,0.104603942,0.0006697917021
8,Industry,"Gifts, Sports, Toys",899,724,0.03061958131,175,0.0275851198,-0.1043632267,0.0003166861943
9,Industry,Homeware,4130,3153,0.1333474307,977,0.1540037831,0.1440191843,0.002974911016
10,Industry,Industrial Plants & Machinery,1697,1399,0.05916684288,298,0.04697351828,-0.2307772964,0.002813942485
11,Industry,"Industrial Products, Minerals & Metallurgy",2943,2424,0.1025163882,519,0.08180958386,-0.2256282723,0.004672040497
12,Industry,"Machine Tools,Measuring Equipments,Mehanical Components",1994,1623,0.0686403045,371,0.05848045397,-0.1601873131,0.001627479159
13,Industry,Medical Equipment & Supplies,2010,1548,0.06546838655,462,0.07282471627,0.1064880287,0.0007833610499
14,Industry,Miscallenous Service,598,463,0.01958130683,135,0.02127994956,0.08318991612,0.0001413099461
15,Industry,Packaging,1391,1140,0.04821315289,251,0.03956494325,-0.1976884105,0.001709650816
16,Industry,nan,5,3,0.0001268767181,2,0.000315258512,0.9101770837,0.0001714607917
0,IA,0,77,64,0.00270670332,13,0.002049180328,-0.2782915341,0.0001829830822
1,IA,10,31,27,0.001141890463,4,0.000630517024,-0.5939003131,0.0003037048456
2,IA,100,1629,1269,0.05366885177,360,0.05674653216,0.0557617555,0.0001716168614
3,IA,15,35,32,0.00135335166,3,0.000472887768,-1.051481422,0.0009257914255
