,Variable,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
0,Industry,Agriculture,394,364,0.01342034436,30,0.01046755059,-0.248491739,0.0007337448572
1,Industry,"Apparel, Textiles & Accessories",3547,3194,0.1177598348,353,0.1231681786,0.04490347518,0.0002428534324
2,Industry,Auto & Transportation,626,572,0.02108911256,54,0.01884159107,-0.1126901978,0.0002532736417
3,Industry,"Books, Stationary, Paper Products",442,401,0.01478450024,41,0.01430565248,-0.03292461358,0.00001576587754
4,Industry,Building Material & Construction,3445,3080,0.1135567599,365,0.1273551989,0.1146772246,0.001582366682
5,Industry,Electrical,2023,1866,0.06879769937,157,0.05478018144,-0.227841829,0.003193776924
6,Industry,Electronics,2063,1843,0.06794971058,220,0.07676203768,0.1219423357,0.00107459575
7,Industry,Food & Beverages,1782,1580,0.05825314309,202,0.07048150733,0.1905523184,0.002330143156
8,Industry,"Gifts, Sports, Toys",899,819,0.0301957748,80,0.02791346825,-0.07859270216,0.0001793726393
9,Industry,Homeware,4130,3693,0.1361575047,437,0.1524773203,0.1132035273,0.001847460691
10,Industry,Industrial Plants & Machinery,1697,1552,0.05722080891,145,0.0505931612,-0.1231012113,0.0008158714609
11,Industry,"Industrial Products, Minerals & Metallurgy",2943,2720,0.1002838919,223,0.07780879274,-0.2537506408,0.005703070814
12,Industry,"Machine Tools,Measuring Equipments,Mehanical Components",1994,1822,0.06717545994,172,0.06001395673,-0.112730854,0.0008073223724
13,Industry,Medical Equipment & Supplies,2010,1791,0.06603251853,219,0.07641311933,0.1460070748,0.001515641158
14,Industry,Miscallenous Service,598,538,0.01983556391,60,0.02093510119,0.05395074908,0.00005932085956
15,Industry,Packaging,1391,1284,0.04733989603,107,0.03733426378,-0.2374419028,0.002375756359
16,Industry,nan,5,4,0.0001474763116,1,0.0003489183531,0.8611703859,0.0001734759206
0,IA,0,77,74,0.002728311765,3,0.001046755059,-0.9579880575,0.001610911242
1,IA,10,31,28,0.001032334181,3,0.001046755059,0.01387252551,0.0000002000539979
2,IA,100,1629,1467,0.05408693729,162,0.0565247732,0.04408630411,0.0001074751756
3,IA,15,35,34,0.001253548649,1,0.0003489183531,-1.278895778,0.001156927865
4,IA,20,43,39,0.001437894038,4,0.001395673412,-0.02980253799,0.000001258281806
5,IA,25,73,70,0.002580835453,3,0.001046755059,-0.9024182064,0.001384382078
6,IA,30,76,66,0.002433359142,10,0.003489183531,0.360395098,0.0003805139343
7,IA,35,124,113,0.004166205803,11,0.003838101884,-0.0820277989,0.00002691364229
8,IA,40,179,160,0.005899052465,19,0.006629448709,0.1167299109,0.00008525908856
9,IA,45,210,186,0.00685764849,24,0.008374040475,0.1997719037,0.0003029325134
10,IA,5,19,15,0.0005530361686,4,0.001395673412,0.925708907,0.000780036802
11,IA,50,316,296,0.01091324706,20,0.006978367062,-0.4471624338,0.001759530516
12,IA,55,401,363,0.01338347528,38,0.01325889742,-0.009351927521,0.000001165043129
13,IA,60,585,524,0.01931939682,61,0.02128401954,0.09684692687,0.0001902676727
14,IA,65,818,752,0.02772554658,66,0.0230286113,-0.1856168349,0.0008718302603
15,IA,70,1148,1041,0.0383807101,107,0.03733426378,-0.02764348714,0.00002892742528
16,IA,75,1730,1572,0.05795819047,158,0.05512909979,-0.05004419294,0.0001415795596
17,IA,80,2818,2561,0.09442170851,257,0.08967201675,-0.05161225429,0.0002451422992
18,IA,85,4046,3665,0.1351251705,381,0.1329378925,-0.01631949218,0.00003569526599
19,IA,90,6454,5810,0.2142093426,644,0.2247034194,0.04782762328,0.0005019067506
20,IA,95,6865,6173,0.2275928179,692,0.2414515003,0.05911048024,0.0008191933749
21,IA,Not Available,2312,2114,0.07794123069,198,0.06908583391,-0.1206053887,0.00106800857
0,NOB,Manufacturer,8213,7501,0.2765549534,712,0.2484298674,-0.1072489655,0.003016386374
1,NOB,Retailer,7914,7127,0.2627659182,787,0.2745987439,0.04404732793,0.0005212043526
2,NOB,Service Provider and Others,4525,3971,0.1464071084,554,0.1933007676,0.2778562026,0.01302969409
3,NOB,Trader - Retailer,3,2,0.00007373815581,1,0.0003489183531,1.554317566,0.0004277174146
4,NOB,Trader - Wholesaler/Distributor,7,7,0.0002580835453,0,0.0001744591766,-0.3915925826,0.00003274668254
5,NOB,Wholesaler/Distributor,7030,6474,0.2386904104,556,0.1939986043,-0.2073163932,0.009265344032
6,NOB,nan,2297,2041,0.075249788,256,0.08932309839,0.1714470287,0.002412827251
0,Entity,Others,80,79,0.002912657154,1,0.0003489183531,-2.121983105,0.005440210423
1,Entity,Partnership,2578,2416,0.08907569222,162,0.0565247732,-0.4548074768,0.01480440134
2,Entity,Private Limited,1444,1350,0.04977325517,94,0.03279832519,-0.4171003421,0.007080249102
3,Entity,Properitor,25887,23278,0.8582383955,2609,0.9103279833,0.05892304465,0.003069277108
0,DAU,0,129,83,0.003060133466,46,0.01605024424,1.657265536,0.0215280629
1,DAU,1-3,1750,1503,0.05541422409,247,0.08618283322,0.4416346939,0.01358848527
2,DAU,11-15,5591,5075,0.1871105704,516,0.1800418702,-0.03851029141,0.0002722177031
3,DAU,16-20,5346,4914,0.1811746488,432,0.1507327285,-0.1839532178,0.005599889192
4,DAU,21-25,4561,4209,0.1551819489,352,0.1228192603,-0.2338844462,0.007569129501
5,DAU,26-30,3595,3415,0.125907901,180,0.06280530356,-0.6955111741,0.04388856166
6,DAU,4-6,4285,3760,0.1386277329,525,0.1831821354,0.2786887732,0.01241681176
7,DAU,7-10,4732,4164,0.1535228404,568,0.1981856246,0.255354736,0.01140485346
0,D_Rank,0,15726,13403,0.4941562512,2323,0.8105373343,0.4948456383,0.156559799
1,D_Rank,1,4747,4486,0.1653946835,261,0.09106769016,-0.5967315607,0.04435326273
2,D_Rank,2,2842,2725,0.1004682373,117,0.04082344731,-0.9005850253,0.05371520469
3,D_Rank,3,1830,1757,0.06477896988,73,0.02547103978,-0.9334389,0.03669155104
4,D_Rank,4,1305,1273,0.04693433617,32,0.0111653873,-1.435930949,0.05136174069
5,D_Rank,5,871,850,0.03133871622,21,0.007327285415,-1.453249165,0.03489459176
6,D_Rank,Greater than 5,2668,2629,0.09692880581,39,0.01360781577,-1.963332432,0.163586802
0,Meeting_Sales,0,23496,21305,0.7854957048,2191,0.7644801117,-0.02711897932,0.0005699214347
1,Meeting_Sales,1,4578,4123,0.1520112082,455,0.1587578507,0.04342583326,0.0002929785707
2,Meeting_Sales,2,1365,1217,0.04486966781,148,0.05163991626,0.1405329278,0.0009514428366
3,Meeting_Sales,Greater than Equal to 3,550,478,0.01762341924,72,0.02512212142,0.3545201335,0.0026584409
0,Meeting_Production,1,9925,9008,0.3321166538,917,0.3199581298,-0.03729613111,0.0004534659038
1,Meeting_Production,2,12525,11323,0.4174685691,1202,0.4193998604,0.004615527798,0.000008913928782
2,Meeting_Production,3,5293,4800,0.1769715739,493,0.1720167481,-0.02839727584,0.0001407035567
3,Meeting_Production,4,1586,1399,0.05157983999,187,0.06524773203,0.2350603892,0.003212780023
4,Meeting_Production,Greater than equal to 5,657,591,0.02178962504,66,0.0230286113,0.05530347164,0.00006852024168
5,Meeting_Production,Not Available,3,2,0.00007373815581,1,0.0003489183531,1.554317566,0.0004277174146
0,Broad_Industry,Consumer Focused Segment,7677,6887,0.2539173395,790,0.275645499,0.08210683693,0.001784030443
1,Broad_Industry,Industrial Segments,6634,6094,0.2246801607,540,0.1884159107,-0.176026073,0.006383453529
2,Broad_Industry,Other B2B Category,9263,8385,0.3091472182,878,0.306350314,-0.009088333605,0.00002541919844
3,Broad_Industry,Other Consumer Focused Segment,6410,5753,0.2121078052,657,0.229239358,0.07767202864,0.00133064246
4,Broad_Industry,nan,5,4,0.0001474763116,1,0.0003489183531,0.8611703859,0.0001734759206
0,Bank,AXIS Bank,3601,3241,0.1194926815,360,0.1256106071,0.04993157533,0.0003054776644
1,Bank,Bank Of Maharashtra,305,268,0.009880912878,37,0.01290997906,0.2673956792,0.0008099592101
2,Bank,Bank of Baroda,1936,1732,0.06385724293,204,0.07117934403,0.1085526517,0.000794833491
3,Bank,Bank of Maharashtra,76,61,0.002249013752,15,0.005233775297,0.8446410839,0.002521052226
4,Bank,Canara Bank,1471,1338,0.04933082624,133,0.04640614096,-0.06111736545,0.0001787490587
5,Bank,HDFC BANK,1,1,0.0000368690779,0,0.0001744591766,1.554317566,0.0002138587073
6,Bank,HDFC Bank,6103,5676,0.2092688862,427,0.1489881368,-0.339753278,0.02048058221
7,Bank,ICICI,4066,3769,0.1389595546,297,0.1036287509,-0.2933681074,0.01036493103
8,Bank,IDBI,794,717,0.02643512886,77,0.02686671319,0.01619432827,0.000006989218344
9,Bank,IDFC Bank,588,507,0.0186926225,81,0.0282623866,0.4134028981,0.003956168215
10,Bank,Indian Bank,459,417,0.01537440549,42,0.01465457083,-0.0479518565,0.00003451740811
11,Bank,IndusInd Bank,894,790,0.02912657154,104,0.03628750872,0.2198227007,0.00157413655
12,Bank,Indusind Bank,1,1,0.0000368690779,0,0.0001744591766,1.554317566,0.0002138587073
13,Bank,Kotak Mahindra Bank,2739,2409,0.08881760867,330,0.1151430565,0.2595903989,0.006833833508
14,Bank,Others,2075,1838,0.06776536519,237,0.08269364969,0.1990915852,0.002972095826
15,Bank,Punjab National Bank,1088,976,0.03598422003,112,0.03907885555,0.0825010319,0.0002553106232
16,Bank,STATE BANK OF INDIA,1,1,0.0000368690779,0,0.0001744591766,1.554317566,0.0002138587073
17,Bank,State Bank of India,1537,1390,0.05124801829,147,0.05129099791,0.0008383076714,0.00000003603014468
18,Bank,Union Bank,1573,1403,0.0517273163,170,0.05931612003,0.136895104,0.001038870075
19,Bank,YES Bank,681,588,0.02167901781,93,0.03244940684,0.4033372923,0.004344099548
0,A_Rank,0,7033,5388,0.1986505917,1645,0.5739706909,1.061030873,0.3982262123
1,A_Rank,1-3,7678,6943,0.2559820079,735,0.2564549895,0.001846009477,0.0000008731285944
2,A_Rank,4-6,6121,5832,0.2150204623,289,0.100837404,-0.7572238386,0.0864621337
3,A_Rank,7-10,4834,4682,0.1726210227,152,0.05303558967,-1.18013538,0.1411270005
4,A_Rank,Greater than 10,4323,4278,0.1577259153,45,0.01570132589,-2.307113653,0.3276668692
0,RAG,-1,1443,1277,0.04708181248,166,0.05792044662,0.2071836793,0.002245588098
1,RAG,-2,639,569,0.02097850533,70,0.02442428472,0.1520795549,0.000524032596
2,RAG,0,6167,5473,0.2017844634,694,0.2421493371,0.1823545164,0.007360717019
3,RAG,1,10183,9223,0.3400435055,960,0.334961619,-0.01505761176,0.00007652107437
4,RAG,2,11513,10544,0.3887475574,969,0.3381018842,-0.1395828978,0.007069269837
5,RAG,Not Found,44,37,0.001364155882,7,0.002442428472,0.5824569834,0.0006280473997
0,BL NI-30 Days,0,19961,17936,0.6612837813,2025,0.706559665,0.06622458125,0.002998376442
1,BL NI-30 Days,1,1595,1467,0.05408693729,128,0.0446615492,-0.1914797672,0.001804771117
2,BL NI-30 Days,2,1149,1038,0.03827010286,111,0.03872993719,0.0119438846,0.000005492208174
3,BL NI-30 Days,3,1000,907,0.03344025366,93,0.03244940684,-0.03007820994,0.00002980289869
4,BL NI-30 Days,4,761,693,0.02555027099,68,0.02372644801,-0.074057547,0.0001350678558
5,BL NI-30 Days,5,567,521,0.01920878959,46,0.01605024424,-0.1796438982,0.0005674133986
6,BL NI-30 Days,6,478,440,0.01622239428,38,0.01325889742,-0.2017238202,0.0005978079076
7,BL NI-30 Days,7,399,367,0.01353095159,32,0.0111653873,-0.1921611982,0.0004545696688
8,BL NI-30 Days,8,334,307,0.01131880692,27,0.009420795534,-0.1835461346,0.0003483726527
9,BL NI-30 Days,Greater than 8,3745,3447,0.1270877115,298,0.1039776692,-0.200701333,0.004638216297
0,Ticket Count,0,22695,20875,0.7696420013,1820,0.6350314027,-0.1922510226,0.02587902524
1,Ticket Count,1,5484,4750,0.17512812,734,0.2561060712,0.3800738786,0.03077760397
2,Ticket Count,2,1382,1159,0.04273126129,223,0.07780879274,0.5993236751,0.02102279506
3,Ticket Count,3,288,227,0.008369280684,61,0.02128401954,0.9333885937,0.01205446994
4,Ticket Count,4,97,73,0.002691442687,24,0.008374040475,1.135059136,0.006450084536
5,Ticket Count,5,32,29,0.001069203259,3,0.001046755059,-0.0212187943,0.0000004763237363
6,Ticket Count,6,6,6,0.0002212144674,0,0.0001744591766,-0.2374419028,0.00001110166523
7,Ticket Count,7,3,3,0.0001106072337,0,0.0001744591766,0.4557052778,0.00002909766735
8,Ticket Count,8,2,1,0.0000368690779,1,0.0003489183531,2.247464747,0.0007013197453
0,Products Added,0,14342,12840,0.4733989603,1502,0.5240753664,0.1016970021,0.005153638575
1,Products Added,1,3540,3206,0.1182022638,334,0.1165387299,-0.01417359318,0.00002357825166
2,Products Added,10,344,310,0.01142941415,34,0.01186322401,0.03725297415,0.00001616070732
3,Products Added,11,311,283,0.01043394905,28,0.009769713887,-0.06577764045,0.00004369182153
4,Products Added,2,2221,2044,0.07536039524,177,0.0617585485,-0.1990494717,0.002707440408
5,Products Added,3,1515,1374,0.05065811304,141,0.04919748779,-0.02925683539,0.00004273327258
6,Products Added,4,1233,1117,0.04118276002,116,0.04047452896,-0.01734686095,0.0000122855857
7,Products Added,5,878,803,0.02960586956,75,0.02616887648,-0.1234018534,0.0004241313155
8,Products Added,6,756,678,0.02499723482,78,0.02721563154,0.08502628577,0.0001886220337
9,Products Added,7,622,573,0.02112598164,49,0.0170969993,-0.2116006716,0.0008525353683
10,Products Added,8,522,481,0.01773402647,41,0.01430565248,-0.2148304564,0.0007365191499
11,Products Added,9,416,384,0.01415772592,32,0.0111653873,-0.2374419028,0.0007105065747
12,Products Added,Greater than 11,3289,3030,0.1117133061,259,0.09036985345,-0.2120250898,0.004525347453
0,Products Deleted,0,27344,24690,0.9102975335,2654,0.9260293091,0.01713437957,0.0002695542159
1,Products Deleted,1,885,810,0.0298639531,75,0.02616887648,-0.1320813871,0.0004880508454
2,Products Deleted,2,377,346,0.01275670095,31,0.01081646895,-0.1649868236,0.0003201127161
3,Products Deleted,3,217,201,0.007410684659,16,0.00558269365,-0.2832514388,0.0005177810834
4,Products Deleted,Greater than 3,1166,1076,0.03967112783,90,0.03140265178,-0.2337313234,0.001932601848
