,Variable,Cutoff,N,Events,% of Events,Non-Events,% of Non-Events,WoE,IV
0,Vertical,NSD Emerging Markets - Channel FSF,2554,2280,0.08406149762,274,0.09560362875,0.1286621315,0.001485035193
1,Vertical,NSD Inbound Sales,778,715,0.0263613907,63,0.02198185625,-0.1816830693,0.000795687262
2,Vertical,NSD Registered Supplier & Pre-Sales Support,26,23,0.0008479887918,3,0.001046755059,0.2105828198,0.00004185676109
3,Vertical,NSD Tele,6747,6099,0.2248645061,648,0.2260990928,0.005475341073,0.000006759783122
4,Vertical,NSD Top Cities - Channel FSF,3920,3562,0.1313276555,358,0.1249127704,-0.05007973043,0.0003212557157
5,Vertical,NSD Top Cities - Inhouse FSF,15923,14404,0.5310621981,1519,0.5300069784,-0.001988975156,0.000002098805901
6,Vertical,Other Vertical,41,40,0.001474763116,1,0.0003489183531,-1.441414707,0.001622809199
0,Turnover,1Cr-2Cr,4006,3733,0.1376322678,273,0.0952547104,-0.3680309367,0.01559625215
1,Turnover,2 Cr-5 Cr,1517,1436,0.05294399587,81,0.0282623866,-0.6277028479,0.01549271643
2,Turnover,50 Lakh-1 Cr,6382,5845,0.2154997604,537,0.1873691556,-0.1398790324,0.00393488177
3,Turnover,Greater than 5 Cr,952,914,0.0336983372,38,0.01325889742,-0.9327796647,0.01906549379
4,Turnover,Not Mentioned,2772,2476,0.09128783689,296,0.1032798325,0.1234245675,0.001480106874
5,Turnover,Upto 50 Lakh,14360,12719,0.4689378019,1641,0.5725750174,0.1996736207,0.02069361807
0,Tier,Others,7378,6600,0.2433359142,778,0.2714584787,0.1093663432,0.003075662045
1,Tier,Tier1,11387,10406,0.3836596247,981,0.3422889044,-0.1141006353,0.004720425465
2,Tier,Tier2,11224,10117,0.3730044612,1107,0.3862526169,0.03490122352,0.0004623768443
0,STS_Creation_Date,0,2830,2543,0.09375806511,287,0.1001395673,0.06584719735,0.0004202040368
1,STS_Creation_Date,1-10,3262,2946,0.1086163035,316,0.1102581996,0.01500336358,0.00002463396378
2,STS_Creation_Date,11-30,2046,1832,0.06754415072,214,0.07466852756,0.1002772168,0.0007144126814
3,STS_Creation_Date,180-365,2764,2479,0.09139844412,285,0.09944173064,0.08434339525,0.0006783980932
4,STS_Creation_Date,31-180,4936,4446,0.1639199204,490,0.170969993,0.0421100436,0.000296878867
5,STS_Creation_Date,Greater than 365,14151,12877,0.4747631162,1274,0.4445219819,-0.06581647012,0.001990364713
0,Cancellation_Reason,6 Months Lock-In Period,173,151,0.005567230764,22,0.007676203768,0.3212273636,0.0006774598381
1,Cancellation_Reason,BL/ROI Issue,121,112,0.004129336725,9,0.003140265178,-0.2738095469,0.0002708172323
2,Cancellation_Reason,Bounce,73,64,0.002359620986,9,0.003140265178,0.285806241,0.0002231129821
3,Cancellation_Reason,Client Coordination Issue,436,399,0.01471076208,37,0.01290997906,-0.1305787572,0.0002351440087
4,Cancellation_Reason,Client Does Not Want Service,42,37,0.001364155882,5,0.001744591766,0.2459847468,0.00009358142437
5,Cancellation_Reason,GST Filing,88,78,0.002875788077,10,0.003489183531,0.1933410133,0.0001185944987
6,Cancellation_Reason,High Churn Category Cancellation,160,139,0.005124801829,21,0.007327285415,0.3575132516,0.0007874170686
7,Cancellation_Reason,Material Issue,1013,931,0.03432511153,82,0.02861130495,-0.182075283,0.001040342949
8,Cancellation_Reason,NACH Cancelled,281,252,0.009291007632,29,0.01011863224,0.08533148949,0.00007062244055
9,Cancellation_Reason,Negative Industry,40,39,0.001437894038,1,0.0003489183531,-1.416096899,0.001542095091
10,Cancellation_Reason,Not Cancelled,27104,24517,0.903919183,2587,0.9026517795,-0.001403104259,0.000001778299245
11,Cancellation_Reason,Others,170,151,0.005567230764,19,0.006629448709,0.1746238894,0.000185488629
12,Cancellation_Reason,Penny Drop,288,253,0.00932787671,35,0.01221214236,0.2694233198,0.0007770884262
0,Rating,0-1,25647,22945,0.8459609925,2702,0.9427773901,0.1083569387,0.01049072846
1,Rating,1-2,453,430,0.0158537035,23,0.008025122121,-0.6808262457,0.005329903669
2,Rating,2-3,231,223,0.008221804373,8,0.002791346825,-1.080265483,0.005866335845
3,Rating,3-4,541,524,0.01931939682,17,0.005931612003,-1.180813593,0.0158084783
4,Rating,4-5,748,737,0.02717251042,11,0.003838101884,-1.957227872,0.04567075476
5,Rating,Greater than Equal to 5,2369,2264,0.08347159238,105,0.03663642708,-0.8234633421,0.03856704175
0,TAT_Slab,0-4,1594,1410,0.05198539985,184,0.06420097697,0.2110555213,0.002578164998
1,TAT_Slab,11-15,4619,4212,0.1552925561,407,0.1420097697,-0.08941494079,0.001187679561
2,TAT_Slab,5-7,15074,13574,0.5004608635,1500,0.5233775297,0.04477365684,0.001026062948
3,TAT_Slab,8-10,7026,6372,0.2349297644,654,0.2281926029,-0.02909657256,0.0001960283077
4,TAT_Slab,Greater than 15,1676,1555,0.05733141614,121,0.04221912073,-0.305975532,0.004623992629
0,Product_Count,0-5,344,314,0.01157689046,30,0.01046755059,-0.1007308572,0.0001117447559
1,Product_Count,11,6751,6080,0.2241639937,671,0.2341242149,0.04347390903,0.0004330097536
2,Product_Count,12-19,8352,7519,0.2772185968,833,0.2906489881,0.04730995981,0.0006353912761
3,Product_Count,20,5474,4945,0.1823175902,529,0.1845778088,0.01232093482,0.0000278480055
4,Product_Count,21-30,5435,4910,0.1810271725,525,0.1831821354,0.01183378882,0.00002550137552
5,Product_Count,6-10,511,470,0.01732846662,41,0.01430565248,-0.191695881,0.0005794610192
6,Product_Count,Greater than 30,3122,2885,0.1063672898,237,0.08269364969,-0.2517552908,0.005959964139
0,Preferred_Location,FOREIGN & GLOBAL,74,73,0.002691442687,1,0.0003489183531,-2.042994694,0.004785764785
1,Preferred_Location,HYPERLOCAL,9730,8355,0.3080411459,1375,0.4797627355,0.4430583161,0.07608267834
2,Preferred_Location,INDIA,4161,4018,0.148139955,143,0.04989532449,-1.088230168,0.1069127708
3,Preferred_Location,LOCAL ONLY,16024,14677,0.5411274564,1347,0.4699930216,-0.1409369982,0.0100254737
0,PNS_Count,1,3433,3023,0.1114552225,410,0.1430565248,0.2496169119,0.007888219485
1,PNS_Count,2,23133,20905,0.7707480736,2228,0.7773900907,0.008580704274,0.00005699318476
2,PNS_Count,3,2591,2406,0.08870700144,185,0.06454989532,-0.3179003244,0.007679551871
3,PNS_Count,4,638,604,0.02226892305,34,0.01186322401,-0.6297489263,0.006552977803
4,PNS_Count,5,183,174,0.006415219555,9,0.003140265178,-0.7143659749,0.002339515976
5,PNS_Count,6,11,11,0.0004055598569,0,0.0001744591766,-0.8435777063,0.0001949513819
0,Multiple_Angle_Images,0%,15584,14096,0.5197065221,1488,0.5191905094,-0.0009933857656,0.00000051259969
1,Multiple_Angle_Images,0.01%-5%,1589,1458,0.05375511558,131,0.04570830426,-0.1621588424,0.00130486161
2,Multiple_Angle_Images,10-15%,955,867,0.03196549054,88,0.03070481507,-0.04023741528,0.00005072632242
3,Multiple_Angle_Images,15-20%,1455,1321,0.04870405191,134,0.04675505932,-0.04083975755,0.00007959638508
4,Multiple_Angle_Images,20%-25%,834,749,0.02761493935,85,0.02965806001,0.07137701999,0.0001458318644
5,Multiple_Angle_Images,5%-10%,2783,2484,0.09158278951,299,0.1043265876,0.1302828774,0.00166029868
6,Multiple_Angle_Images,Greater than 25%,6789,6148,0.226671091,641,0.2236566643,-0.01338790072,0.00004035684426
0,Mcat_Count,0-4,1878,1643,0.060575895,235,0.08199581298,0.3027711431,0.006485333053
1,Mcat_Count,13-16,4793,4286,0.1580208679,507,0.176901605,0.1128665746,0.002131004125
2,Mcat_Count,17-20,3870,3504,0.129189249,366,0.1277041172,-0.01156237164,0.00001717164511
3,Mcat_Count,21-24,2781,2559,0.09434797036,222,0.07745987439,-0.1972297073,0.003330834224
4,Mcat_Count,5-8,4354,3823,0.1409504848,531,0.1852756455,0.2734360346,0.01212009617
5,Mcat_Count,9-12,5261,4652,0.1715149504,609,0.212491277,0.2142305011,0.008778378987
6,Mcat_Count,Greater than 24,7052,6656,0.2454005825,396,0.1381716678,-0.5743950242,0.06159175506
